OriginalGeneID,ReplacementGeneID
GN7V-40928,GLYMA.10G255000
GN7V-40930,GLYMA.09G024500
GN7V-40932,GLYMA.09G024100
GN7V-40933,GLYMA.02G017900
GN7V-40936,GLYMA.07G239700
GN7V-40938,GLYMA.08G208300
GN7V-40939,GLYMA.01G215500
GN7V-40941,GLYMA.17G179800
GN7V-40948,GLYMA.05G178900
GN7V-40949,GLYMA.15G270900
GN7V-40951,GLYMA.08G195900
GN7V-40955,GLYMA.20G159800
GN7V-40956,GLYMA.08G332000
GN7V-40959,GLYMA.12G003000
GN7V-40960,GLYMA.10G137000
GN7V-40961,GLYMA.20G152500
GN7V-40966,GLYMA.15G161000
GN7V-40970,GLYMA.16G042500
GN7V-40971,GLYMA.14G070800
GN7V-40973,GLYMA.12G136100
GN7V-40974,GLYMA.04G060900
GN7V-40976,GLYMA.07G179800
GN7V-40977,GLYMA.01G170200
GN7V-40978,GLYMA.12G059100
GN7V-40981,GLYMA.14G198100
GN7V-40984,GLYMA.17G244000
GN7V-40985,GLYMA.10G290900
GN7V-40987,GLYMA.08G276400
GN7V-40989,GLYMA.03G194200
GN7V-40990,GLYMA.20G058000
GN7V-40991,GLYMA.05G083000
GN7V-40992,GLYMA.14G014500
GN7V-40994,GLYMA.14G081300
GN7V-40995,GLYMA.17G020600
GN7V-40998,GLYMA.13G146700
GN7V-41004,GLYMA.14G096900
GN7V-41005,GLYMA.17G080500
GN7V-41008,GLYMA.02G133900
GN7V-41012,GLYMA.05G187300
GN7V-41013,GLYMA.01G021700
GN7V-41016,GLYMA.13G126500
GN7V-41020,GLYMA.12G015500
GN7V-41025,GLYMA.04G110200
GN7V-41026,GLYMA.16G037200
GN7V-41030,GLYMA.16G066200
GN7V-41032,GLYMA.02G151100
GN7V-41033,GLYMA.05G094600
GN7V-41038,GLYMA.06G101700
GN7V-41047,GLYMA.U032500
GN7V-41048,GLYMA.19G047400
GN7V-41049,GLYMA.09G231800
GN7V-41064,GLYMA.13G072100
GN7V-41067,GLYMA.08G028600
GN7V-41070,GLYMA.18G009200
GN7V-41074,GLYMA.07G013200
GN7V-41075,GLYMA.02G283400
GN7V-41078,GLYMA.11G135700
GN7V-41082,GLYMA.12G237000
GN7V-41083,GLYMA.06G132800
GN7V-41084,GLYMA.12G132800
GN7V-41086,GLYMA.03G185500
GN7V-41089,GLYMA.20G007200
GN7V-41090,GLYMA.05G140900
GN7V-41091,GLYMA.14G117000
GN7V-41095,GLYMA.10G017000
GN7V-41101,GLYMA.14G020000
GN7V-41102,GLYMA.12G140600
GN7V-41103,GLYMA.18G187900
GN7V-41109,GLYMA.09G240100
GN7V-41110,GLYMA.04G128300
GN7V-41113,GLYMA.10G241700
GN7V-41117,GLYMA.10G162000
GN7V-41118,GLYMA.06G173400
GN7V-41120,GLYMA.12G130200
GN7V-41121,GLYMA.18G220500
GN7V-41122,GLYMA.06G009800
GN7V-41124,GLYMA.02G108100
GN7V-41128,GLYMA.17G060400
GN7V-41130,GLYMA.02G104100
GN7V-41133,GLYMA.08G245600
GN7V-41135,GLYMA.06G072800
GN7V-41138,GLYMA.17G089000
GN7V-41140,GLYMA.06G041400
GN7V-41143,GLYMA.19G230100
GN7V-41144,GLYMA.15G262100
GN7V-41145,GLYMA.09G022600
GN7V-41146,GLYMA.07G136000
GN7V-41151,GLYMA.08G080200
GN7V-41152,GLYMA.14G021000
GN7V-41154,GLYMA.19G237700
GN7V-41157,GLYMA.11G073000
GN7V-41163,GLYMA.18G255400
GN7V-41165,GLYMA.07G261800
GN7V-41166,GLYMA.08G179700
GN7V-41167,GLYMA.16G018300
GN7V-41169,GLYMA.04G201600
GN7V-41171,GLYMA.16G111200
GN7V-41172,GLYMA.19G187100
GN7V-41174,GLYMA.05G127800
GN7V-41176,GLYMA.05G149500
GN7V-41177,GLYMA.16G161500
GN7V-41182,GLYMA.05G125000
GN7V-41185,GLYMA.13G095100
GN7V-41186,GLYMA.15G170300
GN7V-41187,GLYMA.13G109800
GN7V-41190,GLYMA.09G002700
GN7V-41191,GLYMA.02G241200
GN7V-41194,GLYMA.14G191400
GN7V-41195,GLYMA.03G185800
GN7V-41199,GLYMA.18G107000
GN7V-41202,GLYMA.20G249000
GN7V-41204,GLYMA.03G176400
GN7V-41205,GLYMA.11G193600
GN7V-41207,GLYMA.12G197600
GN7V-41209,GLYMA.18G195900
GN7V-41212,GLYMA.11G228900
GN7V-41216,GLYMA.14G068600
GN7V-41217,GLYMA.01G171800
GN7V-41219,GLYMA.20G124700
GN7V-41220,GLYMA.08G323600
GN7V-41225,GLYMA.04G030500
GN7V-41233,GLYMA.10G019700
GN7V-41238,GLYMA.09G135700
GN7V-41239,GLYMA.13G295000
GN7V-41242,GLYMA.07G242400
GN7V-41245,GLYMA.02G287200
GN7V-41246,GLYMA.07G221800
GN7V-41248,GLYMA.15G223800
GN7V-41250,GLYMA.17G259800
GN7V-41253,GLYMA.11G212000
GN7V-41254,GLYMA.17G255500
GN7V-41257,GLYMA.11G239800
GN7V-41260,GLYMA.17G214900
GN7V-41262,GLYMA.08G306400
GN7V-41264,GLYMA.05G069500
GN7V-41265,GLYMA.10G106900
GN7V-41271,GLYMA.18G027100
GN7V-41273,GLYMA.05G078300
GN7V-41274,GLYMA.01G116100
GN7V-41275,GLYMA.08G061200
GN7V-41277,GLYMA.16G108100
GN7V-41279,GLYMA.03G221100
GN7V-41286,GLYMA.13G161400
GN7V-41288,GLYMA.04G202700
GN7V-41289,GLYMA.13G366900
GN7V-41292,GLYMA.08G043900
GN7V-41294,GLYMA.04G065800
GN7V-41295,GLYMA.07G000700
GN7V-41298,GLYMA.20G244900
GN7V-41299,GLYMA.09G161600
GN7V-41303,GLYMA.16G181100
GN7V-41305,GLYMA.17G042400
GN7V-41306,GLYMA.16G072000
GN7V-41307,GLYMA.04G082500
GN7V-41309,GLYMA.19G088400
GN7V-41310,GLYMA.02G068900
GN7V-41313,GLYMA.02G139600
GN7V-41319,GLYMA.15G207900
GN7V-41321,GLYMA.10G109100
GN7V-41324,GLYMA.18G204200
GN7V-41325,GLYMA.09G194500
GN7V-41331,GLYMA.06G126500
GN7V-41333,GLYMA.05G109600
GN7V-41334,GLYMA.01G066700
GN7V-41336,GLYMA.13G090300
GN7V-41337,GLYMA.04G176600
GN7V-41339,GLYMA.08G205000
GN7V-41340,GLYMA.13G046200
GN7V-41341,GLYMA.03G038500
GN7V-41345,GLYMA.09G262900
GN7V-41346,GLYMA.08G028800
GN7V-41348,GLYMA.18G110500
GN7V-41350,GLYMA.09G146300
GN7V-41352,GLYMA.15G148000
GN7V-41353,GLYMA.14G023700
GN7V-41356,GLYMA.11G000500
GN7V-41358,GLYMA.09G065300
GN7V-41362,GLYMA.13G079700
GN7V-41364,GLYMA.12G073100
GN7V-41368,GLYMA.13G330900
GN7V-41374,GLYMA.20G009300
GN7V-41376,GLYMA.10G200500
GN7V-41377,GLYMA.08G140200
GN7V-41380,GLYMA.10G141500
GN7V-41391,GLYMA.10G217700
GN7V-41394,GLYMA.14G013400
GN7V-41395,GLYMA.13G168700
GN7V-41404,GLYMA.10G172200
GN7V-41410,GLYMA.17G133900
GN7V-41413,GLYMA.08G288100
GN7V-41414,GLYMA.13G267900
GN7V-41415,GLYMA.06G319100
GN7V-41417,GLYMA.13G117500
GN7V-41423,GLYMA.09G150200
GN7V-41428,GLYMA.09G135200
GN7V-41430,GLYMA.06G178400
GN7V-41432,GLYMA.02G228700
GN7V-41437,GLYMA.18G232300
GN7V-41439,GLYMA.04G145200
GN7V-41440,GLYMA.08G080700
GN7V-41441,GLYMA.10G212000
GN7V-41442,GLYMA.20G163900
GN7V-41447,GLYMA.08G056400
GN7V-41449,GLYMA.13G150700
GN7V-41454,GLYMA.14G195700
GN7V-41464,GLYMA.18G259700
GN7V-41469,GLYMA.17G005700
GN7V-41470,GLYMA.01G003200
GN7V-41473,GLYMA.15G054300
GN7V-41478,GLYMA.06G022600
GN7V-41481,GLYMA.03G215400
GN7V-41482,GLYMA.11G221100
GN7V-41484,GLYMA.05G236700
GN7V-41486,GLYMA.17G222800
GN7V-41488,GLYMA.18G145900
GN7V-41491,GLYMA.19G227800
GN7V-41494,GLYMA.19G132000
GN7V-41495,GLYMA.10G197800
GN7V-41496,GLYMA.20G085500
GN7V-41497,GLYMA.07G273800
GN7V-41499,GLYMA.20G054800
GN7V-41501,GLYMA.15G266600
GN7V-41506,GLYMA.09G252800
GN7V-41511,GLYMA.20G172500
GN7V-41513,GLYMA.03G246700
GN7V-41514,GLYMA.13G361400
GN7V-41515,GLYMA.03G029200
GN7V-41518,GLYMA.16G048100
GN7V-41522,GLYMA.19G009000
GN7V-41525,GLYMA.18G069100
GN7V-41527,GLYMA.04G022200
GN7V-41536,GLYMA.19G000700
GN7V-41538,GLYMA.11G196700
GN7V-41541,GLYMA.02G127300
GN7V-41542,GLYMA.02G105000
GN7V-41543,GLYMA.04G054100
GN7V-41544,GLYMA.16G082600
GN7V-41546,GLYMA.15G158300
GN7V-41547,GLYMA.10G122000
GN7V-41549,GLYMA.16G173700
GN7V-41550,GLYMA.18G184600
GN7V-41560,GLYMA.02G106700
GN7V-41562,GLYMA.08G214400
GN7V-41563,GLYMA.05G248100
GN7V-41564,GLYMA.10G241100
GN7V-41570,GLYMA.13G256100
GN7V-41572,GLYMA.05G190400
GN7V-41574,GLYMA.16G004400
GN7V-41575,GLYMA.11G209900
GN7V-41578,GLYMA.18G158700
GN7V-41579,GLYMA.15G054900
GN7V-41581,GLYMA.01G136500
GN7V-41586,GLYMA.04G157500
GN7V-41588,GLYMA.20G148000
GN7V-41591,GLYMA.02G262500
GN7V-41592,GLYMA.06G015400
GN7V-41593,GLYMA.20G126600
GN7V-41600,GLYMA.05G052000
GN7V-41603,GLYMA.07G218200
GN7V-41607,GLYMA.15G263500
GN7V-41608,GLYMA.04G019500
GN7V-41614,GLYMA.07G007300
GN7V-41617,GLYMA.08G254500
GN7V-41618,GLYMA.11G047200
GN7V-41620,GLYMA.07G140700
GN7V-41626,GLYMA.10G227300
GN7V-41627,GLYMA.06G184200
GN7V-41632,GLYMA.04G159200
GN7V-41635,GLYMA.05G058100
GN7V-41639,GLYMA.19G019100
GN7V-41640,GLYMA.16G134100
GN7V-41641,GLYMA.15G196900
GN7V-41644,GLYMA.14G218800
GN7V-41645,GLYMA.13G330100
GN7V-41651,GLYMA.10G154400
GN7V-41652,GLYMA.07G193400
GN7V-41653,GLYMA.18G061700
GN7V-41664,GLYMA.01G192500
GN7V-41666,GLYMA.03G172700
GN7V-41669,GLYMA.13G119000
GN7V-41675,GLYMA.07G044200
GN7V-41682,GLYMA.15G183800
GN7V-41683,GLYMA.07G028400
GN7V-41684,GLYMA.19G147300
GN7V-41686,GLYMA.08G216500
GN7V-41693,GLYMA.17G177100
GN7V-41696,GLYMA.01G156000
GN7V-41697,GLYMA.15G211300
GN7V-41704,GLYMA.10G096900
GN7V-41707,GLYMA.03G134900
GN7V-41708,GLYMA.07G203200
GN7V-41716,GLYMA.17G061000
GN7V-41719,GLYMA.02G293500
GN7V-41723,GLYMA.13G028200
GN7V-41724,GLYMA.04G247300
GN7V-41725,GLYMA.18G113100
GN7V-41726,GLYMA.02G046800
GN7V-41727,GLYMA.13G029900
GN7V-41728,GLYMA.08G003800
GN7V-41729,GLYMA.14G096300
GN7V-41735,GLYMA.06G090400
GN7V-41737,GLYMA.07G082500
GN7V-41738,GLYMA.14G198600
GN7V-41742,GLYMA.09G270500
GN7V-41744,GLYMA.13G027600
GN7V-41747,GLYMA.01G007300
GN7V-41749,GLYMA.01G197700
GN7V-41751,GLYMA.01G215200
GN7V-41752,GLYMA.17G254400
GN7V-41755,GLYMA.12G071100
GN7V-41758,GLYMA.10G025300
GN7V-41761,GLYMA.07G171000
GN7V-41762,GLYMA.20G105500
GN7V-41764,GLYMA.05G075100
GN7V-41769,GLYMA.07G046000
GN7V-41770,GLYMA.19G136100
GN7V-41771,GLYMA.04G059100
GN7V-41776,GLYMA.05G025300
GN7V-41780,GLYMA.09G117400
GN7V-41793,GLYMA.07G174800
GN7V-41794,GLYMA.20G243500
GN7V-41796,GLYMA.01G170300
GN7V-41805,GLYMA.04G030200
GN7V-41806,GLYMA.11G015800
GN7V-41809,GLYMA.19G154400
GN7V-41811,GLYMA.13G068600
GN7V-41812,GLYMA.15G088900
GN7V-41823,GLYMA.13G118800
GN7V-41825,GLYMA.18G283900
GN7V-41827,GLYMA.20G217800
GN7V-41832,GLYMA.06G157200
GN7V-41835,GLYMA.02G239500
GN7V-41840,GLYMA.10G045500
GN7V-41846,GLYMA.09G252600
GN7V-41847,GLYMA.01G116600
GN7V-41848,GLYMA.14G014400
GN7V-41849,GLYMA.19G103200
GN7V-41850,GLYMA.02G051700
GN7V-41861,GLYMA.04G207800
GN7V-41862,GLYMA.07G060300
GN7V-41866,GLYMA.20G204000
GN7V-41871,GLYMA.03G096500
GN7V-41872,GLYMA.09G279800
GN7V-41876,GLYMA.15G237900
GN7V-41877,GLYMA.07G263100
GN7V-41879,GLYMA.18G017600
GN7V-41882,GLYMA.17G025000
GN7V-41887,GLYMA.08G350800
GN7V-41888,GLYMA.17G188200
GN7V-41889,GLYMA.12G032300
GN7V-41893,GLYMA.18G080900
GN7V-41895,GLYMA.02G167600
GN7V-41903,GLYMA.14G145400
GN7V-41904,GLYMA.20G018300
GN7V-41919,GLYMA.18G012200
GN7V-41926,GLYMA.06G068600
GN7V-41931,GLYMA.U013600
GN7V-41932,GLYMA.17G260100
GN7V-41933,GLYMA.08G365000
GN7V-41934,GLYMA.08G018000
GN7V-41937,GLYMA.01G137100
GN7V-41940,GLYMA.13G075900
GN7V-41944,GLYMA.14G138300
GN7V-41945,GLYMA.04G245800
GN7V-41946,GLYMA.13G095900
GN7V-41949,GLYMA.07G085200
GN7V-41950,GLYMA.07G107000
GN7V-41951,GLYMA.08G324800
GN7V-41953,GLYMA.15G092700
GN7V-41955,GLYMA.13G259700
GN7V-41957,GLYMA.05G183100
GN7V-41964,GLYMA.08G160500
GN7V-41966,GLYMA.07G130800
GN7V-41967,GLYMA.08G175200
GN7V-41969,GLYMA.12G019400
GN7V-41972,GLYMA.17G134100
GN7V-41974,GLYMA.04G069600
GN7V-41976,GLYMA.09G011900
GN7V-41979,GLYMA.10G233200
GN7V-41984,GLYMA.18G142500
GN7V-41985,GLYMA.08G189600
GN7V-41986,GLYMA.18G268400
GN7V-41988,GLYMA.03G187400
GN7V-41990,GLYMA.02G138300
GN7V-41991,GLYMA.10G019300
GN7V-41992,GLYMA.13G268000
GN7V-41993,GLYMA.13G087400
GN7V-41994,GLYMA.19G187000
GN7V-42001,GLYMA.06G153900
GN7V-42003,GLYMA.03G002000
GN7V-42004,GLYMA.04G067100
GN7V-42006,GLYMA.01G075000
GN7V-42008,GLYMA.10G240800
GN7V-42010,GLYMA.11G185300
GN7V-42011,GLYMA.05G070500
GN7V-42016,GLYMA.06G302200
GN7V-42018,GLYMA.08G029200
GN7V-42020,GLYMA.12G197100
GN7V-42022,GLYMA.11G034500
GN7V-42024,GLYMA.13G025200
GN7V-42026,GLYMA.16G073800
GN7V-42031,GLYMA.10G028400
GN7V-42032,GLYMA.01G090900
GN7V-42034,GLYMA.11G127200
GN7V-42044,GLYMA.09G127700
GN7V-42046,GLYMA.01G171600
GN7V-42049,GLYMA.01G206800
GN7V-42050,GLYMA.01G112800
GN7V-42051,GLYMA.11G218700
GN7V-42055,GLYMA.08G279800
GN7V-42058,GLYMA.08G244900
GN7V-42061,GLYMA.06G068700
GN7V-42067,GLYMA.05G225800
GN7V-42069,GLYMA.10G026800
GN7V-42077,GLYMA.09G131600
GN7V-42079,GLYMA.02G123800
GN7V-42080,GLYMA.09G171500
GN7V-42081,GLYMA.13G207200
GN7V-42083,GLYMA.11G095200
GN7V-42084,GLYMA.17G039100
GN7V-42085,GLYMA.03G248500
GN7V-42086,GLYMA.16G113000
GN7V-42094,GLYMA.15G135200
GN7V-42097,GLYMA.17G255400
GN7V-42099,GLYMA.07G082000
GN7V-42101,GLYMA.19G040200
GN7V-42108,GLYMA.14G049200
GN7V-42109,GLYMA.15G003100
GN7V-42119,GLYMA.13G253600
GN7V-42123,GLYMA.07G258800
GN7V-42127,GLYMA.07G061600
GN7V-42128,GLYMA.11G104800
GN7V-42133,GLYMA.12G237900
GN7V-42134,GLYMA.06G291800
GN7V-42135,GLYMA.13G001200
GN7V-42136,GLYMA.09G098900
GN7V-42137,GLYMA.17G061300
GN7V-42142,GLYMA.03G030800
GN7V-42143,GLYMA.11G227600
GN7V-42145,GLYMA.02G257700
GN7V-42149,GLYMA.18G146300
GN7V-42150,GLYMA.06G028100
GN7V-42156,GLYMA.18G023100
GN7V-42159,GLYMA.03G142000
GN7V-42161,GLYMA.01G215100
GN7V-42165,GLYMA.01G217000
GN7V-42166,GLYMA.18G155600
GN7V-42167,GLYMA.08G080900
GN7V-42170,GLYMA.15G043400
GN7V-42176,GLYMA.02G136000
GN7V-42179,GLYMA.07G003800
GN7V-42181,GLYMA.06G075500
GN7V-42186,GLYMA.09G096800
GN7V-42187,GLYMA.02G091700
GN7V-42189,GLYMA.05G225200
GN7V-42192,GLYMA.20G230600
GN7V-42193,GLYMA.17G086500
GN7V-42195,GLYMA.08G167100
GN7V-42196,GLYMA.19G242100
GN7V-42198,GLYMA.07G142400
GN7V-42201,GLYMA.13G104600
GN7V-42204,GLYMA.18G263200
GN7V-42205,GLYMA.15G097700
GN7V-42206,GLYMA.16G093000
GN7V-42210,GLYMA.16G108900
GN7V-42211,GLYMA.06G111000
GN7V-42218,GLYMA.02G124000
GN7V-42222,GLYMA.07G095200
GN7V-42225,GLYMA.08G157700
GN7V-42227,GLYMA.15G133700
GN7V-42230,GLYMA.08G043400
GN7V-42231,GLYMA.02G104400
GN7V-42233,GLYMA.07G157200
GN7V-42235,GLYMA.09G174900
GN7V-42236,GLYMA.12G029600
GN7V-42237,GLYMA.14G031100
GN7V-42238,GLYMA.08G152800
GN7V-42240,GLYMA.01G046300
GN7V-42242,GLYMA.05G224900
GN7V-42243,GLYMA.15G224500
GN7V-42245,GLYMA.05G227400
GN7V-42246,GLYMA.14G208200
GN7V-42250,GLYMA.13G052900
GN7V-42251,GLYMA.12G161400
GN7V-42255,GLYMA.01G226900
GN7V-42256,GLYMA.11G077600
GN7V-42258,GLYMA.10G295100
GN7V-42267,GLYMA.04G015300
GN7V-42268,GLYMA.19G113600
GN7V-42272,GLYMA.08G180600
GN7V-42287,GLYMA.08G299900
GN7V-42296,GLYMA.01G191700
GN7V-42298,GLYMA.02G077600
GN7V-42299,GLYMA.14G098300
GN7V-42302,GLYMA.02G072200
GN7V-42304,GLYMA.09G090100
GN7V-42307,GLYMA.17G225500
GN7V-42312,GLYMA.16G173100
GN7V-42313,GLYMA.05G130600
GN7V-42314,GLYMA.08G356800
GN7V-42317,GLYMA.07G220400
GN7V-42322,GLYMA.14G065600
GN7V-42326,GLYMA.12G199400
GN7V-42330,GLYMA.06G321300
GN7V-42332,GLYMA.12G109800
GN7V-42335,GLYMA.05G062400
GN7V-42344,GLYMA.05G207100
GN7V-42350,GLYMA.04G232100
GN7V-42351,GLYMA.10G120100
GN7V-42355,GLYMA.13G033100
GN7V-42361,GLYMA.03G165500
GN7V-42366,GLYMA.07G074600
GN7V-42368,GLYMA.07G081700
GN7V-42369,GLYMA.03G030300
GN7V-42370,GLYMA.06G128100
GN7V-42371,GLYMA.11G194200
GN7V-42374,GLYMA.04G121400
GN7V-42376,GLYMA.07G205900
GN7V-42378,GLYMA.15G136700
GN7V-42379,GLYMA.05G152000
GN7V-42380,GLYMA.06G205900
GN7V-42383,GLYMA.02G184200
GN7V-42384,GLYMA.06G105900
GN7V-42387,GLYMA.15G151800
GN7V-42392,GLYMA.15G131700
GN7V-42395,GLYMA.20G179900
GN7V-42398,GLYMA.17G205500
GN7V-42402,GLYMA.13G310700
GN7V-42404,GLYMA.03G108900
GN7V-42413,GLYMA.16G047800
GN7V-42417,GLYMA.05G194900
GN7V-42420,GLYMA.01G201300
GN7V-42423,GLYMA.18G172500
GN7V-42424,GLYMA.04G010900
GN7V-42426,GLYMA.01G137700
GN7V-42427,GLYMA.17G037100
GN7V-42433,GLYMA.16G179100
GN7V-42435,GLYMA.19G210800
GN7V-42437,GLYMA.05G224500
GN7V-42440,GLYMA.13G262100
GN7V-42442,GLYMA.12G204700
GN7V-42450,GLYMA.11G070900
GN7V-42451,GLYMA.14G214100
GN7V-42455,GLYMA.13G231500
GN7V-42461,GLYMA.02G214300
GN7V-42462,GLYMA.15G015200
GN7V-42467,GLYMA.14G139800
GN7V-42468,GLYMA.05G163400
GN7V-42470,GLYMA.03G187200
GN7V-42474,GLYMA.03G039700
GN7V-42479,GLYMA.03G244800
GN7V-42480,GLYMA.11G112000
GN7V-42482,GLYMA.06G089800
GN7V-42487,GLYMA.20G086900
GN7V-42488,GLYMA.20G148100
GN7V-42489,GLYMA.18G111100
GN7V-42494,GLYMA.14G217300
GN7V-42496,GLYMA.18G263700
GN7V-42497,GLYMA.18G186400
GN7V-42503,GLYMA.01G239600
GN7V-42504,GLYMA.07G236300
GN7V-42509,GLYMA.08G051200
GN7V-42511,GLYMA.03G098900
GN7V-42512,GLYMA.11G082300
GN7V-42513,GLYMA.16G039400
GN7V-42514,GLYMA.12G015300
GN7V-42516,GLYMA.03G057900
GN7V-42518,GLYMA.19G136700
